type,lastSoldPrice,sqft,stories,beds,baths,baths_full,garage,age,lat,long
single_family,410000.0,2101.0,1.0,4.0,2.0,2.0,0.0,43.0,30.7644,-86.5917
single_family,1400000.0,3508.0,1.0,4.0,4.0,4.0,3.0,35.0,26.6587,-80.2414
condos,485000.0,1415.0,1.0,2.0,2.0,2.0,0.0,50.0,30.1223,-81.3627
condos,265000.0,1377.0,2.0,2.0,3.0,2.0,1.0,24.0,26.5354,-80.1124
single_family,385000.0,1844.0,1.0,4.0,2.0,2.0,0.0,50.0,30.5185,-84.2627
single_family,326000.0,1582.0,1.0,4.0,2.0,2.0,2.0,31.0,27.9056,-82.2881
single_family,2750000.0,2457.0,1.0,3.0,3.0,3.0,2.0,39.0,26.7832,-80.0638
single_family,740000.0,2763.0,1.0,4.0,3.0,3.0,2.0,32.0,30.5185,-84.2627
single_family,685000.0,1577.0,1.0,3.0,2.0,2.0,2.0,35.0,26.8234,-80.1387
single_family,493000.0,1668.0,1.0,3.0,2.0,2.0,2.0,41.0,26.6644,-80.1741
single_family,507000.0,1486.0,1.0,4.0,3.0,3.0,0.0,72.0,25.8934,-80.1758
condos,137000.0,1144.0,2.0,2.0,2.0,2.0,0.0,51.0,28.3648,-82.6757
single_family,400000.0,2026.0,1.0,2.0,2.0,2.0,2.0,28.0,26.5312,-80.1418
single_family,800000.0,2498.0,1.0,3.0,2.0,2.0,2.0,42.0,26.3907,-80.2161
single_family,580000.0,2227.0,1.0,3.0,3.0,2.0,2.0,23.0,26.5312,-80.1418
single_family,215000.0,1374.0,1.0,2.0,2.0,2.0,1.0,53.0,30.7107,-85.5486
condos,165000.0,1291.0,1.0,2.0,2.0,2.0,1.0,38.0,27.7147,-82.3538
mobile,217000.0,1560.0,1.0,3.0,2.0,2.0,0.0,5.0,29.461,-82.6356
single_family,832500.0,3082.0,1.0,5.0,4.0,3.0,3.0,11.0,28.6974,-80.8663
single_family,615000.0,1975.0,1.0,3.0,3.0,2.0,2.0,35.0,30.3949,-86.4692
single_family,945000.0,3007.0,1.0,4.0,3.0,3.0,3.0,20.0,27.4067,-82.39
single_family,899000.0,2902.0,1.0,4.0,3.0,3.0,0.0,26.0,29.8826,-84.5964
condos,335000.0,1615.0,1.0,2.0,2.0,2.0,1.0,18.0,29.16,-81.0269
single_family,215000.0,1727.0,1.0,3.0,2.0,2.0,2.0,24.0,26.5384,-80.1856
single_family,825000.0,3342.0,2.0,5.0,4.0,3.0,2.0,28.0,30.2214,-81.5571
single_family,375000.0,1436.0,1.0,2.0,2.0,2.0,2.0,5.0,27.0606,-82.352
single_family,290000.0,1609.0,1.0,4.0,2.0,2.0,2.0,0.0,30.4507,-81.6626
condos,900000.0,1247.0,1.0,2.0,2.0,2.0,0.0,52.0,27.0933,-82.4498
condos,264000.0,1117.0,1.0,2.0,2.0,2.0,0.0,34.0,30.1223,-81.3627
single_family,2106500.0,2182.0,2.0,4.0,3.0,3.0,0.0,34.0,30.4212,-86.8926
single_family,1100000.0,2696.0,1.0,5.0,4.0,4.0,0.0,8.0,25.0108,-80.5218
single_family,660000.0,3798.0,2.0,5.0,4.0,4.0,3.0,4.0,28.273,-81.2003
single_family,710000.0,2429.0,1.0,4.0,3.0,3.0,3.0,25.0,27.4072,-82.5303
condos,147000.0,1088.0,1.0,2.0,2.0,2.0,0.0,48.0,27.4759,-82.6167
condos,285000.0,1308.0,1.0,2.0,2.0,2.0,0.0,39.0,30.2007,-85.8136
single_family,337900.0,1658.0,1.0,3.0,3.0,2.0,2.0,32.0,29.0112,-82.0325
single_family,545000.0,2133.0,1.0,4.0,2.0,2.0,2.0,24.0,27.1838,-82.4853
single_family,217350.0,960.0,1.0,2.0,1.0,1.0,3.0,43.0,28.0452,-81.7325
single_family,865000.0,3640.0,1.0,4.0,4.0,3.0,2.0,31.0,30.1655,-85.7116
single_family,215000.0,1124.0,1.0,2.0,1.0,1.0,0.0,53.0,28.834,-82.2822
single_family,515000.0,1914.0,1.0,2.0,2.0,2.0,2.0,4.0,30.0815,-81.5477
single_family,369900.0,2550.0,2.0,5.0,3.0,3.0,2.0,1.0,30.2108,-84.3205
single_family,595000.0,3092.0,2.0,5.0,3.0,3.0,2.0,28.0,30.2214,-81.5571
condos,192500.0,1394.0,1.0,3.0,2.0,2.0,0.0,21.0,30.2214,-81.5571
townhomes,262000.0,1425.0,1.0,2.0,2.0,2.0,2.0,37.0,28.5697,-80.8191
single_family,1450000.0,3453.0,3.0,4.0,4.0,3.0,2.0,27.0,30.3483,-81.4159
single_family,365000.0,1820.0,1.0,4.0,2.0,2.0,2.0,4.0,27.5391,-80.4052
single_family,400000.0,2601.0,2.0,5.0,3.0,3.0,2.0,4.0,27.4493,-80.3592
single_family,615000.0,1336.0,1.0,2.0,2.0,2.0,0.0,52.0,24.68,-81.362
townhomes,270000.0,1426.0,2.0,2.0,3.0,2.0,0.0,49.0,26.3464,-80.1564
single_family,650000.0,3050.0,2.0,5.0,5.0,5.0,2.0,20.0,28.3037,-81.5898
single_family,839000.0,3100.0,2.0,4.0,3.0,3.0,2.0,12.0,30.5185,-84.2627
single_family,314440.0,1609.0,1.0,4.0,2.0,2.0,2.0,0.0,29.9983,-81.7647
single_family,345000.0,1377.0,1.0,2.0,1.0,1.0,1.0,96.0,30.3737,-87.3126
single_family,339000.0,1679.0,1.0,3.0,3.0,2.0,2.0,32.0,30.1653,-85.5763
single_family,800000.0,2758.0,1.0,3.0,4.0,3.0,3.0,12.0,27.3215,-80.403
single_family,450000.0,2799.0,1.0,3.0,2.0,2.0,2.0,30.0,27.2945,-81.3649
single_family,449900.0,2025.0,1.0,3.0,2.0,2.0,3.0,1.0,28.9295,-82.4892
single_family,1532000.0,2521.0,1.0,3.0,3.0,3.0,3.0,30.0,30.385,-86.3473
condos,208000.0,1012.0,1.0,2.0,2.0,2.0,1.0,39.0,27.981,-81.6736
condos,155000.0,960.0,4.0,2.0,2.0,2.0,0.0,49.0,26.5254,-80.061
single_family,410000.0,1872.0,2.0,3.0,3.0,2.0,0.0,12.0,30.3659,-86.2458
single_family,685000.0,3319.0,2.0,5.0,3.0,3.0,3.0,30.0,26.6104,-80.1683
single_family,290000.0,1675.0,1.0,3.0,2.0,2.0,2.0,59.0,29.2012,-81.0371
