type,lastSoldPrice,sqft,stories,beds,baths,baths_full,garage,age,lat,long
single_family,445000.0,1346.0,1.0,3.0,2.0,1.0,1.0,73.0,27.9781,-82.7815
single_family,304000.0,2451.0,2.0,5.0,3.0,3.0,2.0,0.0,28.1145,-81.6201
single_family,410000.0,1368.0,1.0,3.0,2.0,2.0,0.0,72.0,27.9625,-82.4895
single_family,162500.0,1532.0,1.0,3.0,2.0,2.0,0.0,42.0,28.0381,-81.9392
single_family,369990.0,1968.0,2.0,4.0,3.0,2.0,2.0,1.0,29.0266,-81.3349
single_family,220000.0,1042.0,1.0,2.0,2.0,2.0,1.0,57.0,28.1913,-82.756
single_family,216000.0,1300.0,1.0,3.0,2.0,2.0,0.0,58.0,29.1605,-82.1288
single_family,160000.0,948.0,1.0,2.0,1.0,1.0,1.0,64.0,29.1372,-81.0241
single_family,565000.0,2104.0,2.0,4.0,3.0,2.0,2.0,23.0,26.6587,-80.2414
single_family,549900.0,1756.0,1.0,3.0,2.0,2.0,2.0,22.0,26.3304,-81.5871
condos,118900.0,1400.0,1.0,2.0,2.0,2.0,0.0,55.0,28.0173,-82.7461
single_family,1350000.0,2938.0,3.0,4.0,4.0,3.0,3.0,1.0,27.817,-82.6264
condos,257000.0,1377.0,1.0,3.0,2.0,2.0,1.0,21.0,29.5565,-81.219
single_family,315000.0,1009.0,1.0,3.0,1.0,1.0,0.0,76.0,27.9951,-82.4046
single_family,295000.0,1774.0,1.0,4.0,2.0,2.0,2.0,2.0,29.0058,-82.1828
single_family,224900.0,1337.0,1.0,3.0,2.0,2.0,2.0,50.0,26.9827,-82.1412
condos,670000.0,1676.0,1.0,3.0,3.0,3.0,0.0,23.0,29.5565,-81.219
single_family,1100000.0,2540.0,1.0,4.0,3.0,3.0,2.0,39.0,26.9905,-82.0964
single_family,439099.0,1533.0,1.0,2.0,2.0,2.0,2.0,1.0,27.45,-82.3773
single_family,867504.0,3460.0,2.0,4.0,5.0,4.0,3.0,0.0,27.5572,-82.396
single_family,207000.0,1725.0,1.0,2.0,2.0,2.0,2.0,47.0,27.2945,-81.3649
single_family,295000.0,1588.0,1.0,2.0,2.0,2.0,2.0,36.0,27.09,-82.37
condos,535000.0,1651.0,1.0,2.0,2.0,2.0,0.0,23.0,28.3037,-81.5898
single_family,230000.0,1075.0,1.0,3.0,2.0,2.0,1.0,4.0,29.1281,-82.2975
single_family,724000.0,3198.0,2.0,5.0,3.0,3.0,2.0,4.0,28.1905,-81.2645
condos,205000.0,1308.0,1.0,3.0,2.0,2.0,0.0,27.0,28.5289,-81.4787
single_family,219500.0,1000.0,1.0,3.0,1.0,1.0,0.0,56.0,27.7465,-82.6897
single_family,240000.0,2115.0,2.0,3.0,3.0,2.0,2.0,30.0,27.9056,-82.2881
single_family,225000.0,1506.0,1.0,3.0,2.0,2.0,1.0,54.0,28.3011,-82.6927
single_family,265000.0,1188.0,1.0,2.0,2.0,2.0,1.0,18.0,28.9341,-81.9599
single_family,415000.0,672.0,1.0,2.0,1.0,1.0,0.0,72.0,28.0284,-82.7794
single_family,495000.0,1481.0,1.0,3.0,2.0,2.0,2.0,48.0,28.0173,-82.7461
condos,365000.0,743.0,1.0,1.0,1.0,1.0,1.0,24.0,27.7723,-82.6386
single_family,325000.0,1660.0,1.0,5.0,3.0,2.0,2.0,28.0,28.4113,-81.7812
townhomes,354025.0,1667.0,2.0,3.0,3.0,2.0,1.0,1.0,27.9056,-82.2881
single_family,385000.0,990.0,1.0,2.0,2.0,2.0,0.0,102.0,27.789,-82.6779
single_family,560000.0,1816.0,1.0,3.0,2.0,2.0,2.0,28.0,28.7577,-81.3508
single_family,440000.0,1485.0,1.0,3.0,2.0,2.0,2.0,23.0,27.1384,-82.4518
single_family,284900.0,1440.0,1.0,3.0,2.0,2.0,2.0,52.0,28.9453,-81.2995
single_family,406138.0,1970.0,1.0,3.0,2.0,2.0,2.0,0.0,30.6222,-81.5906
single_family,925000.0,2017.0,1.0,3.0,2.0,2.0,2.0,64.0,28.5974,-81.3036
single_family,382000.0,1683.0,1.0,3.0,2.0,2.0,2.0,52.0,29.2833,-81.0882
single_family,260000.0,1601.0,1.0,2.0,2.0,2.0,2.0,47.0,27.2866,-82.477
mobile,315000.0,1986.0,1.0,4.0,2.0,2.0,5.0,10.0,30.552,-81.8145
single_family,675000.0,2247.0,2.0,4.0,4.0,3.0,2.0,1.0,28.4317,-81.343
single_family,775000.0,4214.0,2.0,5.0,4.0,3.0,3.0,10.0,28.3932,-81.3622
townhomes,420000.0,2008.0,3.0,2.0,3.0,2.0,1.0,42.0,30.3962,-87.0274
single_family,555000.0,3366.0,2.0,4.0,3.0,3.0,2.0,20.0,28.774,-81.6439
single_family,525000.0,1262.0,1.0,4.0,3.0,3.0,0.0,80.0,26.0968,-80.181
single_family,1500000.0,6200.0,2.0,5.0,5.0,5.0,5.0,36.0,30.3704,-81.5864
single_family,360000.0,2039.0,2.0,4.0,3.0,3.0,2.0,8.0,30.4896,-86.1684
single_family,1450000.0,2852.0,1.0,3.0,3.0,3.0,3.0,7.0,27.4067,-82.39
single_family,430000.0,2130.0,1.0,3.0,2.0,2.0,1.0,59.0,27.8643,-81.5719
townhomes,370000.0,1400.0,2.0,3.0,4.0,2.0,0.0,41.0,30.2007,-85.8136
single_family,619000.0,2086.0,1.0,3.0,2.0,2.0,2.0,27.0,27.0606,-82.352
single_family,615000.0,2713.0,2.0,4.0,3.0,3.0,2.0,21.0,26.6555,-80.1596
single_family,255000.0,1550.0,1.0,4.0,3.0,3.0,0.0,78.0,26.6204,-81.8725
townhomes,354990.0,1386.0,2.0,3.0,3.0,2.0,1.0,0.0,28.3134,-80.7319
single_family,325000.0,1561.0,1.0,3.0,2.0,2.0,2.0,7.0,27.8633,-82.3499
single_family,355000.0,1443.0,1.0,2.0,2.0,2.0,2.0,8.0,27.0606,-82.352
single_family,835000.0,2024.0,1.0,3.0,2.0,2.0,2.0,32.0,26.8234,-80.1387
land,8000.0,568.8,1.0,1.2,1.0,1.0,0.0,50.59999999999991,26.6492,-81.6167
condos,120000.0,739.0,1.0,1.0,1.0,1.0,0.0,24.0,28.5399,-81.3727
condos,70000.0,672.0,1.0,1.0,1.0,1.0,0.0,47.0,26.9905,-82.0964
single_family,370000.0,1828.0,1.0,4.0,2.0,2.0,2.0,0.0,27.5572,-82.396
single_family,526000.0,2037.0,1.0,4.0,3.0,2.0,2.0,30.0,28.5523,-81.1795
single_family,570000.0,2257.0,1.0,3.0,2.0,3.0,2.0,64.0,27.947,-82.7943
single_family,715000.0,2580.0,1.0,3.0,3.0,2.0,3.0,6.0,27.2606,-80.4771
townhomes,195700.0,1140.0,1.0,2.0,2.0,2.0,0.0,44.0,30.4771,-84.2246
single_family,900000.0,2609.0,3.0,3.0,5.0,2.0,3.0,18.0,28.5065,-82.6267
single_family,1300000.0,3192.0,2.0,4.0,4.0,4.0,2.0,37.0,26.1097,-80.3215
mobile,310000.0,3024.0,1.0,6.0,4.0,4.0,0.0,23.0,30.4507,-81.6626
single_family,345000.0,1322.0,1.0,2.0,2.0,1.0,2.0,71.0,26.0161,-80.1517
condos,535000.0,2025.0,2.0,3.0,3.0,3.0,0.0,39.0,26.4517,-80.158
single_family,558000.0,2995.0,3.0,4.0,3.0,3.0,1.0,114.0,29.4272,-81.5579
single_family,210000.0,1938.0,1.0,2.0,2.0,2.0,1.0,46.0,27.4676,-81.4581
land,28000.0,945.6,1.0,1.8,1.4,1.6,0.0,30.0,27.4203,-80.9454
single_family,332900.0,1820.0,1.0,4.0,2.0,2.0,2.0,0.0,27.0748,-82.1756
single_family,900000.0,4560.0,2.0,4.0,5.0,3.0,3.0,38.0,30.3949,-86.4692
single_family,490000.0,1758.0,1.0,3.0,2.0,2.0,2.0,25.0,28.0509,-82.6164
condos,1400000.0,1352.0,1.0,3.0,2.0,2.0,1.0,23.0,24.5552,-81.7816
condos,183400.0,1298.0,1.0,2.0,2.0,2.0,2.0,28.0,27.7147,-82.3538
condos,1399999.0,1351.0,1.0,2.0,2.0,2.0,1.0,52.0,26.3462,-80.0844
condos,380000.0,1646.0,1.0,2.0,2.0,2.0,2.0,12.0,29.9175,-81.3668
single_family,520000.0,2037.0,1.0,3.0,2.0,2.0,2.0,47.0,28.3888,-80.7301
single_family,520000.0,2500.0,1.0,4.0,3.0,3.0,2.0,43.0,27.0606,-82.352
single_family,245000.0,1126.0,1.0,2.0,2.0,2.0,1.0,57.0,27.8681,-82.7086
single_family,1125000.0,2093.0,1.0,3.0,4.0,3.0,2.0,53.0,27.6705,-82.7119
single_family,265000.0,997.0,1.0,3.0,2.0,2.0,1.0,61.0,28.2326,-82.7327
single_family,1321568.0,3172.0,2.0,4.0,4.0,3.0,3.0,0.0,30.1204,-81.4128
single_family,912000.0,1463.0,1.0,3.0,3.0,3.0,0.0,77.0,25.7392,-80.3103
condos,360000.0,1242.0,1.0,2.0,2.0,2.0,1.0,62.0,25.985,-80.1407
single_family,330000.0,1558.0,1.0,2.0,2.0,2.0,2.0,12.0,27.09,-82.37
single_family,1100000.0,2765.0,1.0,4.0,3.0,3.0,3.0,23.0,28.6259,-81.7306
single_family,790000.0,2766.0,1.0,4.0,3.0,3.0,2.0,4.0,30.3105,-85.9106
single_family,13000000.0,6872.0,2.0,5.0,8.0,6.0,5.0,4.0,28.4115,-81.525
condos,128000.0,715.0,4.0,1.0,2.0,1.0,0.0,50.0,26.3124,-80.1412
single_family,340000.0,1412.0,1.0,3.0,2.0,2.0,3.0,22.0,30.1653,-85.5763
condos,1710000.0,2080.0,1.0,3.0,3.0,3.0,1.0,24.0,30.385,-86.3473
condos,1100000.0,1513.0,1.0,2.0,3.0,2.0,1.0,7.0,27.3269,-82.5433
single_family,550000.0,2342.0,1.0,4.0,3.0,3.0,2.0,24.0,26.5384,-80.1856
single_family,500000.0,2643.0,2.0,4.0,4.0,3.0,2.0,20.0,27.8293,-82.1357
condos,1350000.0,1760.0,1.0,2.0,2.0,2.0,0.0,56.0,26.4546,-80.0656
single_family,965000.0,3051.0,1.0,3.0,4.0,3.0,2.0,39.0,27.1656,-80.2916
single_family,370000.0,1572.0,1.0,2.0,2.0,2.0,2.0,11.0,27.0606,-82.352
single_family,460000.0,2078.0,1.0,3.0,2.0,2.0,2.0,41.0,27.0606,-82.352
single_family,529500.0,2787.0,1.0,4.0,4.0,3.0,3.0,0.0,27.5572,-82.396
single_family,317500.0,1504.0,1.0,3.0,2.0,2.0,2.0,0.0,27.5572,-82.396
townhomes,359900.0,1277.0,2.0,2.0,2.0,2.0,1.0,28.0,26.8234,-80.1387
single_family,310000.0,1875.0,2.0,4.0,3.0,2.0,2.0,9.0,27.7015,-82.4355
condos,345000.0,936.0,1.0,1.0,2.0,2.0,1.0,19.0,30.1655,-85.7116
single_family,290000.0,1458.0,1.0,3.0,2.0,2.0,2.0,25.0,29.8135,-82.472
condos,905000.0,1275.0,5.0,2.0,2.0,2.0,0.0,44.0,24.9233,-80.63
single_family,635000.0,2718.0,1.0,4.0,4.0,4.0,2.0,50.0,30.5169,-86.4822
single_family,671000.0,3312.0,2.0,5.0,4.0,3.0,2.0,39.0,30.351,-81.5061
single_family,2550000.0,4805.0,2.0,6.0,8.0,7.0,3.0,27.0,26.4116,-80.0928
single_family,175000.0,970.0,1.0,2.0,2.0,1.0,0.0,51.0,27.975,-82.7019
single_family,900000.0,3568.0,1.0,4.0,3.0,2.0,2.0,61.0,30.3571,-87.1639
single_family,294000.0,1432.0,1.0,2.0,2.0,2.0,1.0,27.0,27.0933,-82.4498
single_family,465000.0,2940.0,1.0,4.0,3.0,3.0,2.0,48.0,28.3318,-82.2446
single_family,800000.0,3303.0,2.0,4.0,3.0,3.0,3.0,21.0,28.1331,-80.7112
single_family,347000.0,1836.0,1.0,3.0,2.0,2.0,2.0,32.0,28.1762,-81.9591
single_family,595000.0,2106.0,1.0,3.0,3.0,3.0,2.0,31.0,26.2674,-80.2092
single_family,800000.0,2405.0,1.0,4.0,3.0,3.0,3.0,4.0,27.2822,-82.4181
single_family,370000.0,2772.0,1.0,3.0,3.0,2.0,2.0,47.0,27.7464,-81.7823
single_family,850000.0,3208.0,1.0,4.0,4.0,4.0,2.0,35.0,28.2061,-80.685
single_family,549000.0,1756.0,1.0,4.0,2.0,2.0,2.0,36.0,28.0662,-82.7585
single_family,485000.0,2582.0,2.0,4.0,3.0,2.0,2.0,3.0,27.2606,-80.4771
single_family,587500.0,2648.0,1.0,3.0,3.0,2.0,3.0,24.0,28.4794,-82.5083
single_family,638000.0,2002.0,2.0,3.0,2.0,2.0,0.0,37.0,26.7383,-80.276
single_family,334810.0,2210.0,1.0,4.0,3.0,3.0,2.0,1.0,27.9787,-81.7564
mobile,315000.0,2048.0,1.0,3.0,2.0,2.0,0.0,4.0,30.6222,-81.5906
single_family,415000.0,2068.0,1.0,4.0,3.0,3.0,2.0,60.0,30.5185,-84.2627
single_family,2575000.0,3234.0,2.0,4.0,5.0,4.0,1.0,12.0,30.3659,-86.2458
single_family,298000.0,1443.0,1.0,3.0,2.0,2.0,2.0,9.0,28.4409,-82.4612
condos,212500.0,1340.0,1.0,2.0,2.0,2.0,2.0,28.0,27.0933,-82.4498
single_family,680000.0,2888.0,2.0,4.0,4.0,3.0,2.0,10.0,30.0815,-81.5477
condos,1062000.0,1787.0,3.0,3.0,2.0,2.0,1.0,44.0,27.4125,-82.659
single_family,295000.0,1385.0,1.0,2.0,2.0,2.0,2.0,20.0,26.9667,-82.3599
single_family,321000.0,1565.0,1.0,3.0,2.0,2.0,2.0,0.0,27.4978,-82.4101
townhomes,1827500.0,2127.0,2.0,3.0,2.0,2.0,0.0,29.0,25.0865,-80.4473
townhomes,380000.0,1536.0,2.0,3.0,2.0,2.0,0.0,35.0,30.2007,-85.8136
single_family,410000.0,2230.0,1.0,3.0,3.0,2.0,2.0,32.0,27.0228,-82.1108
single_family,363000.0,1381.0,1.0,3.0,2.0,2.0,2.0,49.0,28.3648,-82.6757
single_family,530835.0,3374.0,2.0,5.0,4.0,3.0,3.0,1.0,29.1565,-82.2095
condos,500000.0,2270.0,1.0,3.0,2.0,2.0,1.0,20.0,28.3888,-80.7301
single_family,1525000.0,3108.0,2.0,4.0,5.0,4.0,0.0,1.0,29.8119,-85.303
single_family,625000.0,2113.0,1.0,3.0,2.0,2.0,2.0,1.0,30.1204,-81.4128
condos,275000.0,1000.0,2.0,1.0,2.0,1.0,1.0,19.0,28.5399,-81.3727
single_family,815000.0,2783.0,2.0,4.0,4.0,3.0,2.0,2.0,28.2061,-80.685
townhomes,244000.0,1508.0,2.0,3.0,3.0,2.0,1.0,12.0,29.1419,-81.1402
condos,1910000.0,2390.0,1.0,3.0,4.0,3.0,2.0,28.0,25.9449,-80.1391
single_family,361000.0,1190.0,1.0,2.0,2.0,2.0,1.0,40.0,28.0848,-82.7253
single_family,550000.0,2780.0,1.0,3.0,2.0,2.0,2.0,28.0,28.1479,-82.0372
single_family,530000.0,1895.0,1.0,2.0,2.0,2.0,3.0,7.0,28.6259,-81.7306
single_family,330000.0,1790.0,1.0,3.0,2.0,2.0,2.0,38.0,26.9905,-82.0964
single_family,398990.0,2499.0,2.0,5.0,3.0,3.0,2.0,0.0,30.4507,-81.6626
single_family,710000.0,2816.0,1.0,3.0,3.0,3.0,2.0,25.0,27.3215,-80.403
single_family,662000.0,3224.0,2.0,4.0,4.0,3.0,3.0,9.0,30.0815,-81.5477
single_family,485000.0,2203.0,1.0,4.0,3.0,3.0,2.0,6.0,27.0498,-82.1288
single_family,920000.0,3939.0,1.0,4.0,4.0,3.0,3.0,32.0,30.5185,-84.2627
single_family,293000.0,1846.0,1.0,4.0,2.0,2.0,2.0,5.0,28.9455,-80.8969
single_family,669000.0,2220.0,2.0,4.0,3.0,2.0,2.0,22.0,28.5978,-81.3534
condos,429000.0,1232.0,1.0,3.0,2.0,2.0,1.0,21.0,26.8234,-80.1387
single_family,390000.0,1448.0,1.0,2.0,2.0,2.0,2.0,3.0,26.9667,-82.3599
single_family,390000.0,1913.0,1.0,2.0,2.0,2.0,2.0,21.0,27.7716,-82.4102
condos,525000.0,1620.0,3.0,2.0,3.0,2.0,0.0,38.0,24.7279,-81.0386
single_family,456000.0,1736.0,1.0,3.0,2.0,2.0,2.0,26.0,26.5384,-80.1856
single_family,350000.0,1194.0,1.0,3.0,2.0,2.0,0.0,50.0,28.0673,-80.678
single_family,565000.0,3757.0,1.0,4.0,4.0,4.0,3.0,8.0,28.4794,-82.5083
single_family,450000.0,1841.0,1.0,2.0,2.0,2.0,2.0,23.0,27.4072,-82.5303
single_family,785000.0,3370.0,2.0,6.0,4.0,4.0,2.0,21.0,25.9974,-80.3248
single_family,1224159.0,2359.0,2.0,3.0,3.0,2.0,2.0,30.0,26.8234,-80.1387
single_family,425000.0,2662.0,2.0,4.0,3.0,3.0,2.0,18.0,29.0247,-80.9584
condos,350000.0,1350.0,3.0,2.0,2.0,2.0,1.0,54.0,29.2219,-81.0095
single_family,2700000.0,2910.0,1.0,3.0,3.0,2.0,3.0,27.0,30.3659,-86.2458
townhomes,499900.0,1390.0,2.0,3.0,3.0,2.0,0.0,41.0,27.6705,-82.7119
condos,470000.0,1315.0,1.0,3.0,2.0,2.0,0.0,49.0,26.9217,-80.077
single_family,4450000.0,4725.0,1.0,4.0,5.0,4.0,3.0,44.0,26.3799,-80.0975
condos,148000.0,1400.0,1.0,2.0,2.0,2.0,0.0,56.0,28.0173,-82.7461
single_family,715000.0,2986.0,2.0,4.0,3.0,2.0,2.0,37.0,30.5185,-84.2627
single_family,905000.0,2767.0,1.0,3.0,3.0,3.0,3.0,12.0,27.339,-82.3473
single_family,370000.0,1503.0,1.0,2.0,2.0,2.0,2.0,2.0,27.09,-82.37
single_family,810851.0,3022.0,1.0,4.0,4.0,3.0,3.0,1.0,30.0815,-81.5477
single_family,365000.0,1896.0,1.0,3.0,2.0,2.0,2.0,34.0,29.2833,-81.0882
single_family,1575000.0,3135.0,1.0,4.0,3.0,3.0,2.0,52.0,25.6574,-80.3627
multi_family,249400.0,1403.0,1.0,2.6,2.4,2.0,0.0,54.0,30.4478,-84.3211
single_family,396500.0,1464.0,1.0,2.0,2.0,2.0,2.0,2.0,29.1419,-81.1402
condos,117000.0,1031.0,2.0,2.0,2.0,2.0,0.0,46.0,26.6644,-80.1741
single_family,523000.0,2126.0,1.0,4.0,3.0,3.0,2.0,5.0,30.2214,-81.5571
single_family,405000.0,1514.0,1.0,3.0,2.0,2.0,0.0,85.0,30.4223,-87.2248
townhomes,445000.0,1545.0,2.0,3.0,3.0,2.0,0.0,10.0,25.9098,-80.3889
townhomes,375000.0,1596.0,2.0,3.0,3.0,2.0,0.0,48.0,26.8234,-80.1387
condos,610000.0,1175.0,1.0,2.0,2.0,2.0,0.0,48.0,27.7456,-82.7516
single_family,870000.0,1758.0,1.0,3.0,2.0,2.0,2.0,60.0,26.0984,-80.1822
condos,450000.0,1122.0,1.0,2.0,2.0,2.0,1.0,20.0,26.7165,-80.0679
single_family,550000.0,2624.0,1.0,5.0,3.0,3.0,2.0,21.0,27.3094,-80.345
condos,146000.0,518.0,1.0,1.0,1.0,1.0,0.0,63.0,28.3903,-80.6043
single_family,815000.0,2200.0,1.0,3.0,3.0,3.0,2.0,2.0,26.7383,-80.276
single_family,485985.0,2124.0,1.0,4.0,2.0,2.0,2.0,0.0,29.9475,-81.5264
condos,830000.0,1096.0,1.0,2.0,2.0,2.0,0.0,8.0,25.8156,-80.1897
condos,112113.0,1385.0,1.0,3.0,2.0,2.0,0.0,44.0,28.031,-82.7239
single_family,415000.0,1589.0,2.0,4.0,3.0,3.0,0.0,38.0,26.656,-80.126
condos,250000.0,1209.0,2.0,2.0,2.0,2.0,1.0,20.0,27.2606,-80.4771
condos,1425000.0,1859.0,1.0,3.0,3.0,3.0,1.0,44.0,27.4125,-82.659
condos,1825000.0,1531.0,1.0,2.0,2.0,2.0,0.0,40.0,24.5552,-81.7816
condos,155000.0,1360.0,1.0,3.0,2.0,2.0,0.0,28.0,27.0675,-81.9855
condos,525000.0,1620.0,2.0,2.0,3.0,2.0,0.0,38.0,24.7279,-81.0386
multi_family,400000.0,1958.0,1.0,4.0,4.0,4.0,2.0,37.0,29.0247,-80.9584
single_family,660000.0,2281.0,1.0,3.0,3.0,3.0,2.0,1.0,30.3105,-85.9106
single_family,522500.0,3041.0,2.0,5.0,4.0,4.0,2.0,28.0,29.4861,-81.2045
townhomes,285000.0,1235.0,2.0,2.0,3.0,2.0,0.0,41.0,26.4564,-80.1054
single_family,1475000.0,2888.0,1.0,4.0,3.0,3.0,2.0,41.0,26.3839,-80.1749
single_family,289900.0,1912.0,2.0,4.0,4.0,3.0,2.0,14.0,28.9059,-82.0612
single_family,499900.0,2363.0,1.0,3.0,3.0,3.0,3.0,4.0,29.4861,-81.2045
single_family,304900.0,2022.0,1.0,3.0,2.0,2.0,2.0,31.0,27.981,-81.6736
single_family,5100000.0,5421.0,2.0,6.0,7.0,6.0,3.0,24.0,26.8234,-80.1387
single_family,529000.0,2596.0,1.0,4.0,3.0,3.0,2.0,31.0,29.2833,-81.0882
single_family,575000.0,2197.0,1.0,3.0,2.0,2.0,0.0,36.0,26.5025,-81.9276
single_family,315000.0,1904.0,1.0,3.0,2.0,2.0,2.0,42.0,26.5567,-81.9034
single_family,790000.0,2336.0,1.0,4.0,3.0,3.0,2.0,30.0,30.1223,-81.3627
single_family,395000.0,2325.0,1.0,3.0,3.0,2.0,2.0,39.0,26.5936,-81.6619
single_family,1100000.0,2852.0,1.0,3.0,3.0,3.0,3.0,9.0,26.4351,-81.8102
condos,1450000.0,1800.0,1.0,3.0,3.0,3.0,1.0,55.0,26.9831,-80.108
condos,310000.0,1477.0,1.0,2.0,2.0,2.0,1.0,28.0,26.5025,-81.9276
condos,120000.0,969.0,1.0,2.0,2.0,2.0,0.0,52.0,26.5175,-80.0834
single_family,220000.0,1530.0,1.0,4.0,3.0,2.0,0.0,64.0,28.3672,-80.7465
single_family,741600.0,2509.0,1.0,4.0,3.0,3.0,2.0,53.0,26.6065,-81.9502
single_family,125000.0,861.0,1.0,2.0,1.0,1.0,0.0,86.0,30.3172,-81.722
condos,65000.0,702.0,2.0,1.0,2.0,1.0,0.0,54.0,26.7197,-80.1248
single_family,395000.0,1140.0,1.0,3.0,2.0,2.0,0.0,72.0,25.9894,-80.2153
single_family,850000.0,2830.0,2.0,5.0,3.0,3.0,0.0,24.0,25.6615,-80.441
single_family,615000.0,1620.0,1.0,4.0,3.0,3.0,0.0,52.0,25.6062,-80.3426
condos,400000.0,1366.0,2.0,2.0,2.0,2.0,0.0,45.0,26.8234,-80.1387
condos,235000.0,1254.0,1.0,2.0,2.0,2.0,0.0,46.0,27.4544,-82.6358
single_family,400000.0,1576.0,1.0,3.0,2.0,2.0,2.0,7.0,28.2061,-80.685
townhomes,225000.0,1348.0,2.0,2.0,2.0,2.0,1.0,19.0,29.9175,-81.3668
condos,206000.0,1207.0,1.0,2.0,2.0,2.0,0.0,29.0,25.9974,-80.3248
condos,700000.0,1564.0,1.0,3.0,2.0,2.0,1.0,30.0,28.3325,-80.6121
single_family,1081500.0,2527.0,1.0,4.0,3.0,3.0,2.0,40.0,26.1122,-80.2264
single_family,620000.0,3406.0,2.0,4.0,3.0,3.0,3.0,20.0,28.268,-81.4675
single_family,600000.0,1594.0,1.0,2.0,2.0,2.0,1.0,53.0,26.0476,-80.1447
townhomes,239990.0,1433.0,2.0,3.0,3.0,2.0,1.0,1.0,30.084,-81.8645
condos,210500.0,1003.0,1.0,2.0,2.0,2.0,0.0,32.0,28.4522,-81.4678
condos,5800000.0,4331.0,1.0,4.0,5.0,4.0,2.0,21.0,25.9449,-80.1391
single_family,550000.0,2456.0,2.0,3.0,4.0,3.0,2.0,19.0,26.4972,-81.8246
single_family,578000.0,2200.0,1.0,4.0,2.0,2.0,3.0,11.0,30.0815,-81.5477
townhomes,1050000.0,2011.0,6.0,2.0,3.0,2.0,1.0,50.0,26.4116,-80.0928
single_family,595000.0,1429.0,1.0,2.0,2.0,2.0,4.0,70.0,26.0218,-80.1891
single_family,275000.0,1274.0,1.0,3.0,2.0,2.0,2.0,47.0,29.2833,-81.0882
condos,1950000.0,3274.0,1.0,3.0,4.0,3.0,1.0,23.0,25.9449,-80.1391
condos,340000.0,1283.0,1.0,2.0,2.0,2.0,1.0,31.0,26.2823,-81.7573
condos,670000.0,3080.0,1.0,3.0,3.0,3.0,2.0,22.0,26.5557,-82.0206
condos,410000.0,1190.0,1.0,2.0,2.0,2.0,2.0,24.0,26.0984,-80.1822
single_family,465000.0,2264.0,1.0,3.0,2.0,2.0,2.0,15.0,26.6281,-82.0182
single_family,1150000.0,3792.0,2.0,5.0,4.0,3.0,2.0,17.0,25.9974,-80.3248
multi_family,985000.0,2659.0,1.0,4.0,3.0,3.0,0.0,55.0,26.2416,-81.8071
single_family,230000.0,1428.0,1.0,3.0,2.0,1.0,0.0,74.0,30.2687,-81.7473
condos,70280.0,919.0,1.0,2.0,2.0,2.0,0.0,47.0,26.9905,-82.0964
single_family,155000.0,1428.0,1.0,3.0,2.0,2.0,1.0,90.0,30.7107,-85.5486
single_family,356000.0,1726.0,1.0,3.0,2.0,2.0,2.0,17.0,26.6281,-82.0182
condos,525000.0,1400.0,2.0,2.0,3.0,2.0,0.0,48.0,26.3839,-80.1749
condos,480000.0,1002.0,1.0,2.0,2.0,2.0,0.0,59.0,26.3096,-80.0992
townhomes,550000.0,1658.0,2.0,2.0,3.0,2.0,2.0,19.0,26.4116,-80.0928
single_family,570000.0,1438.0,1.0,3.0,2.0,2.0,2.0,7.0,26.8055,-80.2482
single_family,1320000.0,2501.0,1.0,3.0,3.0,3.0,3.0,3.0,26.6065,-81.9502
single_family,300000.0,1304.0,1.0,4.0,2.0,2.0,2.0,25.0,30.1637,-81.7291
single_family,420000.0,1674.0,1.0,3.0,2.0,2.0,2.0,58.0,30.4487,-86.6255
single_family,410000.0,1817.0,1.0,3.0,2.0,2.0,2.0,22.0,26.5557,-82.0206
single_family,1100000.0,1706.0,1.0,3.0,2.0,2.0,1.0,61.0,27.4125,-82.659
single_family,540000.0,2667.0,1.0,4.0,3.0,2.0,2.0,10.0,30.4896,-86.1684
condos,135000.0,951.0,1.0,2.0,2.0,2.0,0.0,53.0,27.2666,-82.5163
single_family,2400000.0,4499.0,2.0,5.0,6.0,5.0,2.0,23.0,26.6587,-80.2414
single_family,750000.0,3679.0,1.0,3.0,4.0,3.0,3.0,39.0,26.4972,-81.8246
single_family,630000.0,2257.0,2.0,3.0,3.0,2.0,3.0,14.0,30.1204,-81.4128
townhomes,900000.0,1320.0,2.0,3.0,3.0,2.0,0.0,28.0,24.7279,-81.0386
condos,275000.0,1323.0,1.0,3.0,2.0,2.0,0.0,16.0,27.4924,-81.4357
land,13000.0,879.2,1.0,1.8,1.4,1.2,0.0,43.40000000000009,27.4203,-80.9454
single_family,840000.0,1426.0,1.0,3.0,2.0,2.0,0.0,90.0,25.7664,-80.2317
single_family,2999000.0,4002.0,2.0,4.0,5.0,4.0,2.0,1.0,26.1042,-80.126
single_family,900000.0,3174.0,1.0,3.0,4.0,3.0,2.0,19.0,26.4972,-81.8246
single_family,7495000.0,5083.0,2.0,5.0,8.0,7.0,4.0,10.0,26.134,-81.7953
single_family,725000.0,1684.0,1.0,3.0,2.0,2.0,2.0,7.0,26.0143,-81.5856
condos,2549000.0,1978.0,3.0,3.0,4.0,3.0,2.0,2.0,26.4546,-80.0656
single_family,700000.0,2006.0,1.0,3.0,3.0,3.0,2.0,7.0,26.0426,-81.7182
single_family,436240.0,1558.0,1.0,2.0,2.0,2.0,2.0,17.0,27.4759,-82.6167
